causas,lon,lat,raca,genero,idade,data,endereco
Stabbing,-76.612623,39.345123,Black,Male,16,2007-04-12,2600 West Coldspring Lane
Shooting,-76.643912,39.290684,Black,Male,45,2007-04-18,200 N.Mount St.
Shooting,-76.65261,39.284069,Black,Male,25,2007-04-18,300 South Bentalou St.
Shooting,-76.623167,39.253198,Black,Male,23,2007-04-19,2400 Seabury Road
Shooting,-76.601631,39.341365,White,Male,45,2007-04-20,4100 St. Georges Ave.
Shooting,-76.64685,39.286176,Black,Male,29,2007-04-22,1900 West Lombard St.
Shooting,-76.673344,39.342089,Black,Male,23,2007-04-22,3500 Woodland Ave.
Stabbing,-76.612197,39.288265,White,Male,18,2007-04-26,31 South Calvert St.
Shooting,-76.66911,39.305936,Black,Male,25,2007-04-27,1600 North Rosedale St.
Shooting,-76.568685,39.343144,Black,Male,35,2007-04-29,4700 Harford Road
Shooting,-76.541686,39.28037,Black,Male,30,2007-04-29,6200 Elliott St
Shooting,-76.693725,39.291714,Black,Male,36,2007-04-29,4600 Old Frederick Road
Shooting,-76.648511,39.285095,Black,Male,22,2007-04-29,2000 West Pratt St.
Shooting,-76.623702,39.297583,Black,Male,16,2007-04-30,500 Half Mile Court
Shooting,-76.591604,39.310787,Black,Male,24,2007-04-30,1900 East Lafayette Ave.
Shooting,-76.660273,39.328917,Black,Male,31,2007-04-30,3600 Reisterstown Road
Unknown,-76.620404,39.254057,Black,Male,18,2007-05-01,3301 Waterview Ave.
Shooting,-76.668032,39.298047,Black,Male,31,2007-05-01,900 North Rosedale St.
Shooting,-76.611136,39.314478,Black,Male,NA,2007-05-02,2200 Barclay St
Shooting,-76.643641,39.286282,Black,Male,23,2007-05-03,100 S. Mount St
Shooting,-76.637361,39.282153,Black,Male,23,2007-05-05,1300 Herkimer St
Shooting,-76.598033,39.293636,Black,Male,24,2007-05-06,200 North Spring Court
Shooting,-76.696199,39.333575,Black,Male,25,2007-05-07,3700 Woodbine Ave.
Shooting,-76.598118,39.306709,Black,Male,23,2007-05-07,1400 North Caroline St
Shooting,-76.596416,39.315647,Black,Male,26,2007-05-07,1500 Cliftview Ave.
Shooting,-76.55905,39.318043,Black,Male,23,2007-05-08,4000 Raymonn Ave.
Shooting,-76.612696,39.315826,Black,Male,17,2007-05-10,NA
Shooting,-76.587987,39.30076,Black,Male,22,2007-05-11,900 North Chester St
Shooting,-76.601985,39.314671,Black,Male,29,2007-05-12,2200 Robb St
Shooting,-76.597588,39.309494,Black,Male,29,2007-05-12,1700 North Dallas St.
Shooting,-76.598933,39.318677,Black,Male,30,2007-05-14,2500 Garrett Ave.
Shooting,-76.651071,39.281946,Black,Male,19,2007-05-15,500 South Smallwood St.
Shooting,-76.609653,39.350325,Black,Male,21,2007-05-16,5100 York Road
Shooting,-76.596624,39.28893,Black,Male,16,2007-05-17,200 North Dallas Court
Blunt Force,-76.653612,39.287899,Black,Male,22,2007-05-19,1 Gorman Ave.
Blunt Force,-76.567795,39.296297,Black,Male,35,2007-05-19,3600 Pulaski Highway
Shooting,-76.584799,39.294303,Black,Male,23,2007-05-22,2301 East Fayette St.
Shooting,-76.613934,39.313356,Black,Male,23,2007-05-22,200 East 21st St.
Shooting,-76.611988,39.304683,Black,Male,22,2007-05-22,1300 Guilford Ave.
Shooting,-76.653064,39.284737,Black,Male,18,2007-05-23,2300 Frederick Ave.
Blunt Force,-76.647936,39.305265,Black,Male,40,2007-05-23,1900 Presstman St.
Shooting,-76.580746,39.354392,Black,Male,49,2007-05-25,1900 Hillenwood Ave.
Stabbing,-76.68543,39.33975,Black,Male,52,2007-05-25,4000 Belvieu Ave.
Shooting,-76.64393,39.307232,Black,Male,31,2007-05-26,1600 Vincent Court
Shooting,-76.649099,39.296389,Black,Male,30,2007-05-26,700 North Payson St.
Shooting,-76.535064,39.332409,Black,Male,19,2007-05-26,5800 Waycross Road
Stabbing,-76.608668,39.292576,Black,Male,32,2007-05-27,200 North Gay St.
Shooting,-76.655726,39.306379,Black,Male,27,2007-05-29,1600 Moreland Ave.
Shooting,-76.645943,39.299868,Black,Male,17,2007-05-29,1800 West Mosher St.
Shooting,-76.674227,39.311024,Black,Male,18,2007-05-29,3400 Clifton Ave.
Shooting,-76.654431,39.290361,Black,Male,26,2007-05-30,2400 West Lexington St.
Shooting,-76.599438,39.313997,Black,Male,31,2007-06-01,2100 Sherwood Ave.
Stabbing,-76.640307,39.315175,Black,Female,72,2007-06-02,2600 Madison Ave.
Shooting,-76.659828,39.330675,Black,Male,24,2007-06-02,2700 Violet Ave.
Shooting,-76.647474,39.297589,Black,Male,28,2007-06-03,1900 West Lanvale St.
Blunt Force,-76.66621,39.325798,Black,Female,81,2007-06-03,3600 Rosedale Road
Shooting,-76.591931,39.325377,Black,Male,30,2007-06-05,1700 East 30th St.
Shooting,-76.618636,39.321867,Other,Male,33,2007-06-05,100 West 28th St.
Shooting,-76.587502,39.312491,Black,Male,29,2007-06-08,1900 North Collington Ave.
Shooting,-76.568089,39.314411,Black,Male,31,2007-06-08,3600 Bonview Ave.
Shooting,-76.605071,39.304962,Black,Male,32,2007-06-09,900 East Preston St.
Stabbing,-76.589815,39.291679,Black,Male,18,2007-06-10,1 South Chapel St.
Shooting,-76.652988,39.290478,Black,Female,18,2007-06-11,200 North Bentalou St.
Shooting,-76.672058,39.30505,Black,Male,44,2007-06-11,3300 Brighton St.
Shooting,-76.596766,39.320773,Black,Male,17,2007-06-12,1600 Montpelier St.
Shooting,-76.671232,39.314491,Black,Male,28,2007-06-13,2400 North Ellamont St.
Shooting,-76.671618,39.286956000000004,Black,Male,22,2007-06-13,3200 Phelps Lane
Shooting,-76.636146,39.31523,Black,Male,15,2007-06-14,2500 Linden Ave.
Shooting,-76.646773,39.285176,Black,Male,37,2007-06-15,1900 West Pratt St.
Blunt Force,-76.639488,39.24985,Black,Male,40,2007-06-16,3300 Annapolis Road
Shooting,-76.66027,39.317554,Black,Male,23,2007-06-17,2600 Fairview ave.
Shooting,-76.68753,39.30222,Black,Male,43,2007-06-17,1300 North Woodington road
Shooting,-76.671108,39.341032,Black,Male,26,2007-06-18,3400 St. Ambrose Ave.
Shooting,-76.624068,39.321284,Black,Male,21,2007-06-19,2900 Miles Ave.
Stabbing,-76.588187,39.222987,White,Male,36,2007-06-19,4800 Pennington Ave.
Shooting,-76.605058,39.325177,Black,Male,24,2007-06-21,3100 Ellerslie Ave.
Shooting,-76.6327,39.301968,Black,Male,27,2007-06-23,1500 Pennsylvania Ave.
Asphyxiation,-76.656348,39.353866,Black,Male,36,2007-06-27,2300 Cylburn Ave.
Shooting,-76.670198,39.332963,Black,Male,29,2007-06-29,4000 Cedardale Road
Shooting,-76.600229,39.289255,Black,Male,28,2007-06-30,1100 Granby St.
Shooting,-76.576973,39.348038,Black,Male,25,2007-07-01,4800 Herring Run Drive
Shooting,-76.585188,39.299805,Black,Male,21,2007-07-01,800 N. Patterson Park Ave.
Shooting,-76.612506,39.312447,Black,Male,39,2007-07-02,2000 Guilford Ave.
Shooting,-76.537282,39.323701,Black,Male,30,2007-07-02,4900 Greencrest Road
Shooting,-76.596774,39.307413,Black,Male,52,2007-07-02,1500 N. Bond St.
Shooting,-76.607642,39.302754,Black,Male,31,2007-07-02,1100 Greenmount Ave.
Stabbing,-76.595106,39.309601,Black,Female,40,2007-07-03,1700 N. Broadway
Shooting,-76.649165,39.297501,Black,Male,25,2007-07-06,800 N. Payson St.
Blunt Force,-76.568201,39.343771,White,Male,53,2007-07-07,3000 Rosekemp Ave.
Blunt Force,-76.614146,39.298662,White,Female,23,2007-07-07,800 St. Paul St.
Blunt Force,-76.689935,39.277428,Black,Male,61,2007-07-08,4400 Parkton St.
Stabbing,-76.64495,39.284275,Black,Female,15,2007-07-10,300 S. Fulton Ave.
Stabbing,-76.595218,39.289177,NA,Male,NA,2007-07-12,200 S. Herring Court
Shooting,-76.571295,39.295826,Black,Male,24,2007-07-12,400 N. Bouldin St.
Shooting,-76.667294,39.338089,Black,Male,20,2007-07-14,2800 Boarman Ave
Shooting,-76.585848,39.311003,Black,Male,25,2007-07-15,1800 N. Gay St.
Shooting,-76.536506,39.329983,Black,Male,22,2007-07-15,5700 Radecke Ave.
Shooting,-76.536506,39.329983,Black,Male,24,2007-07-15,5700 Radecke Ave.
Shooting,-76.663246,39.311442,Black,Male,26,2007-07-15,2100 Koko Lane
Shooting,-76.671108,39.341032,Black,Male,18,2007-07-17,3400 St. Ambrose Ave.
Shooting,-76.542933,39.277722,Hispanic,Male,29,2007-07-17,6100 Fortview Ave.
Shooting,-76.62814,39.247739,Black,Male,41,2007-07-18,2800 Round Road
Shooting,-76.575428,39.321451,Black,Male,17,2007-07-19,3000 Clifton Park Terrace
Blunt Force,-76.583094,39.364889,Black,Male,37,2007-07-26,1600 Waverly Way
Shooting,-76.643787,39.288325,Black,Male,30,2007-07-27,1700 W. Baltimore St.
Shooting,-76.632053,39.286862,Black,Female,42,2007-07-27,900 W. Lombard St.
Shooting,-76.649861,39.284152,Black,Male,25,2007-07-28,2100 McHenry St.
Shooting,-76.665193,39.299228,Black,Male,44,2007-07-28,2900 W. Mosher St.
Shooting,-76.694041,39.295739,Black,Male,21,2007-07-31,4600 Rokeby Road
Shooting,-76.631863,39.280061,Black,Male,20,2007-08-01,1200 Nanticoke St.
Shooting,-76.655876,39.308536,Black,Male,35,2007-08-01,2400 Westwood Ave.
Shooting,-76.651593,39.254359,Black,Male,18,2007-08-02,2400 Marbourne Ave.
Shooting,-76.567027,39.316765,Black,Male,28,2007-08-02,3700 Lyndale Ave.
Shooting,-76.609477,39.315438,Black,Male,20,2007-08-02,500 E. 23rd St.
Shooting,-76.567459,39.2914,Black,Male,27,2007-08-02,3600 E. Lombard St.
